Serie;Referencia;d_mm;D_mm;B_mm;
22208;SKF 22208 E;40;80;23;
22209;SKF 22209 E;45;85;23;
22210;SKF 22210 E;50;90;23;
22211;SKF 22211 E;55;100;25;
22212;SKF 22212 E;60;110;28;
22213;SKF 22213 E;65;120;31;
22214;SKF 22214 E;70;125;31;
22215;SKF 22215 E;75;130;31;
22216;SKF 22216 E;80;140;33;
22217;SKF 22217 E;85;150;36;
22218;SKF 22218 E;90;160;40;
22220;SKF 22220 E;100;180;46;
22310;SKF 22310 E;50;110;40;
22311;SKF 22311 E;55;120;43;
22312;SKF 22312 E;60;130;46;
22313;SKF 22313 E;65;140;48;
22314;SKF 22314 E;70;150;51;
22315;SKF 22315 E;75;160;55;
22316;SKF 22316 E;80;170;58;
22317;SKF 22317 E;85;180;60;
22318;SKF 22318 E;90;190;64;
22320;SKF 22320 E;100;215;73;
